"","strain","photophase","day","phase","n","perc_noct","daylength","peak_after_day"
"1","bivoltine",12,0,19.5,1,74.77,12,7.5
"2","bivoltine",12,1,19.5,1,70.52,12,7.5
"3","bivoltine",12,2,19.5,1,82.22,12,7.5
"4","bivoltine",12,3,19.5,1,78.42,12,7.5
"5","bivoltine",12,4,20.5,1,75.53,12,8.5
"6","bivoltine",14,0,20.5,1,94.35,14,6.5
"7","bivoltine",14,1,21,1,90.79,14,7
"8","bivoltine",14,2,21,1,87.36,14,7
"9","bivoltine",14,3,21,1,96.5,14,7
"10","bivoltine",14,4,21,1,89.44,14,7
"11","bivoltine",15,0,22,1,89.12,15,7
"12","bivoltine",15,1,21.5,1,69.44,15,6.5
"13","bivoltine",15,2,22,1,72.78,15,7
"14","bivoltine",15,3,21,1,81.33,15,6
"15","bivoltine",15,4,21.5,1,72.64,15,6.5
"16","bivoltine",16,0,21.5,1,90.63,16,5.5
"17","bivoltine",16,1,21.5,1,94.97,16,5.5
"18","bivoltine",16,2,22,1,86.48,16,6
"19","bivoltine",16,3,22,1,72.44,16,6
"20","bivoltine",16,4,21,1,86.56,16,5
"21","univoltine",12,0,18.5,1,67.45,12,6.5
"22","univoltine",12,1,19,1,76.11,12,7
"23","univoltine",12,2,19.5,1,79.66,12,7.5
"24","univoltine",12,3,18,1,73.52,12,6
"25","univoltine",12,4,18.5,1,77.89,12,6.5
"26","univoltine",14,0,21,1,61.22,14,7
"27","univoltine",14,1,20.5,1,88.97,14,6.5
"28","univoltine",14,2,20.5,1,77.79,14,6.5
"29","univoltine",14,3,20,1,72.21,14,6
"30","univoltine",14,4,18,1,56.48,14,4
"31","univoltine",15,0,22,1,83.5,15,7
"32","univoltine",15,1,21,1,69.05,15,6
"33","univoltine",15,2,21.5,1,91.79,15,6.5
"34","univoltine",15,3,20.5,1,80.15,15,5.5
"35","univoltine",15,4,20.5,1,58.24,15,5.5
"36","univoltine",16,0,21.5,1,88.27,16,5.5
"37","univoltine",16,1,20.5,1,82.64,16,4.5
"38","univoltine",16,2,21.5,1,92.38,16,5.5
"39","univoltine",16,3,21,1,72.27,16,5
"40","univoltine",16,4,21,1,86.18,16,5
