Date,Strain,Photoperiod,Pupae,adj_Pupae,Total,adj_Total
8/19/2021,UZ,14.25,0,0,32,32
8/20/2021,UZ,14.25,0,0,33,32
8/23/2021,UZ,14.25,0,0,35,29
8/24/2021,UZ,14.25,0,0,35,24
8/19/2021,UZ,14.75,2,3,35,34
8/20/2021,UZ,14.75,5,5,35,35
8/23/2021,UZ,14.75,0,0,34,25
8/24/2021,UZ,14.75,3,4,34,32
8/19/2021,UZ,15.25,25,27,35,34
8/20/2021,UZ,15.25,25,27,32,37
8/23/2021,UZ,15.25,25,27,32,32
8/24/2021,UZ,15.25,29,32,35,36
8/19/2021,UZ,15.75,34,34,35,34
8/20/2021,UZ,15.75,35,35,35,35
8/23/2021,UZ,15.75,34,34,34,34
8/24/2021,UZ,15.75,31,31,31,31
8/19/2021,UZ,16.5,20,20,20,20
8/20/2021,UZ,16.5,20,20,20,20
8/23/2021,UZ,16.5,19,19,19,19
8/24/2021,UZ,16.5,20,20,20,20
8/19/2021,BE,14.25,0,1,35,34
8/20/2021,BE,14.25,2,3,35,34
8/23/2021,BE,14.25,0,1,33,30
8/24/2021,BE,14.25,1,3,35,33
8/25/2021,BE,14.25,1,2,29,27
8/19/2021,BE,14.75,6,9,35,31
8/20/2021,BE,14.75,3,4,35,33
8/23/2021,BE,14.75,8,9,33,33
8/24/2021,BE,14.75,3,4,30,32
8/25/2021,BE,14.75,1,1,25,23
8/19/2021,BE,15.25,29,29,33,33
8/20/2021,BE,15.25,30,30,33,32
8/23/2021,BE,15.25,33,36,34,37
8/24/2021,BE,15.25,19,25,30,30
8/25/2021,BE,15.25,10,11,29,29
8/19/2021,BE,15.75,31,31,31,31
8/20/2021,BE,15.75,31,31,32,31
8/23/2021,BE,15.75,31,31,31,31
8/24/2021,BE,15.75,29,29,29,29
8/25/2021,BE,15.75,27,27,29,27
8/19/2021,BE,16.5,20,20,20,20
8/20/2021,BE,16.5,19,19,19,19
8/23/2021,BE,16.5,20,20,20,20
8/24/2021,BE,16.5,20,20,20,20
8/25/2021,BE,16.5,20,20,20,20
8/23/2021,NH,14.25,0,0,33,26
8/24/2021,NH,14.25,0,0,30,26
8/25/2021,NH,14.25,0,0,30,29
10/25/2021,NH,15,13,13,20,20
10/25/2021,NH,15,18,18,20,20
10/25/2021,NH,15,15,15,20,20
8/22/2021,NH,15.25,28,29,30,30
8/23/2021,NH,15.25,26,30,30,31
8/25/2021,NH,15.25,24,25,25,25
8/23/2021,NH,16.5,19,19,19,19
8/24/2021,NH,16.5,20,20,20,20
8/25/2021,NH,16.5,20,20,20,20
