Strain,Photoperiod,Treatment,Concentration,Pupae,Larvae,Total,Year
BE,14.9,Control,0,15,6,21,2020
BE,14.9,LiCl,10,13,8,21,2020
BE,14.9,NaCl,10,12,10,22,2020
BE,15,Control,0,11,13,24,2020
BE,15,LiCl,10,13,11,24,2020
BE,15,LiCl,25,17,7,24,2020
BE,14.9,Control,0,5,20,25,2020
BE,14.9,LiCl,10,12,17,29,2020
BE,14.9,NaCl,10,10,18,28,2020
BE,15,Control,0,17,10,27,2020
BE,15,LiCl,10,22,7,29,2020
BE,15,LiCl,25,21,6,27,2020
BE,14.9,Control,0,15,13,28,2020
BE,14.9,LiCl,25,18,9,27,2020
BE,14.9,NaCl,10,15,12,27,2020
BE,15,Control,0,18,7,25,2020
BE,15,LiCl,10,16,11,27,2020
BE,15,LiCl,25,21,7,28,2020
UZ,14.9,Caffeine,0.75,3,28,31,2021
UZ,14.9,Caffeine,0.75,5,22,27,2021
UZ,14.9,Caffeine,0.75,2,27,29,2021
UZ,14.9,LiCl,25,0,28,28,2021
UZ,14.9,LiCl,25,2,28,30,2021
UZ,14.9,LiCl,25,3,23,26,2021
UZ,14.9,LiCl,10,6,21,27,2021
UZ,14.9,LiCl,10,2,27,29,2021
UZ,14.9,LiCl,10,4,26,30,2021
UZ,14.9,LiCl,10,5,17,22,2021
UZ,14.9,Cinammon,25,12,16,28,2021
UZ,14.9,Cinammon,25,13,14,27,2021
UZ,14.9,Cinammon,25,9,21,30,2021
UZ,14.9,Control,0,6,24,30,2021
UZ,14.9,Control,0,1,29,30,2021
UZ,14.9,Control,0,4,26,30,2021
UZ,15,Caffeine,0.75,5,18,23,2021
UZ,15,LiCl,25,6,23,29,2021
UZ,15,LiCl,25,5,25,30,2021
UZ,15,LiCl,25,3,27,30,2021
UZ,15,LiCl,25,10,15,25,2021
UZ,15,LiCl,10,5,24,29,2021
UZ,15,LiCl,10,5,23,28,2021
UZ,15,LiCl,10,4,25,29,2021
UZ,15,LiCl,10,10,19,29,2021
UZ,15,LiHOac,25,4,24,28,2021
UZ,15,LiHOac,25,6,23,29,2021
UZ,15,LiHOac,25,6,24,30,2021
UZ,15,LiHOac,25,10,15,25,2021
UZ,15,Control,0,8,21,29,2021
UZ,15,Control,0,1,29,30,2021
UZ,15,Control,0,3,27,30,2021
UZ,15,Control,0,7,21,28,2021
