sex,strain,genotype,family,eclosion_date,eclosion_time,azt_0,azt,location,pi
female,be,wt,,7/29/2022,23:45,3:00,20:45,D1,3
female,be,wt,,7/29/2022,21:30,3:00,18:30,E5,3
female,be,wt,,7/30/2022,22:45,3:00,19:45,D5,3
female,be,wt,,7/30/2022,20:00,3:00,17:00,D7,3
female,be,wt,,7/30/2022,18:45,3:00,15:45,E7,3
female,be,wt,,7/31/2022,17:45,3:00,14:45,D2,3
female,be,wt,,7/31/2022,18:15,3:00,15:15,D6,3
female,be,wt,,7/31/2022,19:30,3:00,16:30,E6,3
female,be,wt,,7/31/2022,22:00,3:00,19:00,E8,3
female,be,wt,,8/6/2022,20:00,3:00,17:00,C6,3
female,be,wt,,8/6/2022,20:45,3:00,17:45,F2,3
female,be,wt,,8/7/2022,21:15,3:00,18:15,A1,3
male,be,wt,,8/7/2022,21:45,3:00,18:45,A3,3
female,be,wt,,8/7/2022,20:15,3:00,17:15,A4,3
male,be,wt,,8/7/2022,17:30,3:00,14:30,A8,3
female,be,wt,,8/7/2022,18:45,3:00,15:45,B2,3
male,be,wt,,8/7/2022,20:30,3:00,17:30,B4,3
male,be,wt,,8/7/2022,23:30,3:00,20:30,C2,3
female,be,wt,,8/7/2022,20:45,3:00,17:45,C3,3
male,be,wt,,8/7/2022,20:30,3:00,17:30,D3,3
male,be,wt,,8/7/2022,21:45,3:00,18:45,D6,3
male,be,wt,,8/7/2022,21:15,3:00,18:15,E2,3
female,be,wt,,8/7/2022,20:45,3:00,17:45,F5,3
male,be,wt,,8/7/2022,23:45,3:00,20:45,F6,3
male,be,wt,,8/8/2022,22:45,3:00,19:45,A2,3
male,be,wt,,8/8/2022,23:45,3:00,20:45,B1,3
male,be,wt,,8/8/2022,18:00,3:00,15:00,B3,3
female,be,wt,,8/8/2022,21:15,3:00,18:15,B6,3
female,be,wt,,8/8/2022,21:15,3:00,18:15,B8,3
female,be,wt,,8/8/2022,18:30,3:00,15:30,C5,3
female,be,wt,,8/8/2022,23:00,3:00,20:00,C8,3
female,be,wt,,8/8/2022,19:30,3:00,16:30,D2,3
male,be,wt,,8/8/2022,19:30,3:00,16:30,D4,3
male,be,wt,,8/8/2022,0:30,3:00,21:30,D7,3
male,be,wt,,8/8/2022,21:00,3:00,18:00,D8,3
male,be,wt,,8/8/2022,19:15,3:00,16:15,E4,3
male,be,wt,,8/8/2022,20:30,3:00,17:30,E6,3
female,be,wt,,8/8/2022,4:30,3:00,1:30,E7,3
female,be,wt,,8/8/2022,0:45,3:00,21:45,F1,3
female,be,wt,,8/8/2022,19:30,3:00,16:30,F4,3
female,be,wt,,8/8/2022,4:30,3:00,1:30,F7,3
male,be,wt,,8/9/2022,1:00,3:00,22:00,A7,3
male,be,wt,,8/9/2022,1:15,3:00,22:15,E1,3
male,be,wt,,8/9/2022,4:45,3:00,1:45,E5,3
male,be,wt,,8/9/2022,1:30,3:00,22:30,F8,3
female,be,pX4f63,B33,7/30/2022,22:45,3:00,19:45,A2,4
female,be,pX4f63,B33,7/30/2022,20:30,3:00,17:30,B7,4
male,be,pX4f63,B33,7/30/2022,6:15,3:00,3:15,C3,4
female,be,pX4f63,B33,7/31/2022,2:30,3:00,23:30,B2,4
female,be,pX4f63,B33,7/31/2022,14:45,3:00,11:45,B3,4
female,be,pX4f63,B33,7/31/2022,16:15,3:00,13:15,B4,4
female,be,pX4f63,B33,7/31/2022,10:30,3:00,7:30,B6,4
female,be,pX4f63,B33,7/31/2022,18:45,3:00,15:45,C2,4
female,be,pX4f63,B33,7/31/2022,4:15,3:00,1:15,C5,4
female,be,pX4f63,B33,7/31/2022,13:15,3:00,10:15,C6,4
female,be,pX4f63,B33,7/31/2022,13:00,3:00,10:00,C7,4
female,be,pX4f63,B33,7/31/2022,2:30,3:00,23:30,D1,4
female,be,pX4f63,B33,7/31/2022,18:45,3:00,15:45,D4,4
female,be,pX4f63,B33,7/31/2022,19:45,3:00,16:45,D6,4
female,be,pX4f63,B33,7/31/2022,23:15,3:00,20:15,E7,4
female,be,pX4f63,B33,8/1/2022,9:00,3:00,6:00,A1,4
female,be,pX4f63,B33,8/1/2022,0:30,3:00,21:30,A4,4
female,be,pX4f63,B33,8/1/2022,8:30,3:00,5:30,A5,4
female,be,wt,,8/1/2022,18:45,3:00,15:45,A5,4
female,be,pX4f63,B33,8/1/2022,16:15,3:00,13:15,B1,4
female,be,pX4f63,B33,8/1/2022,20:45,3:00,17:45,B2,4
female,be,pX4f63,B33,8/1/2022,10:00,3:00,7:00,B5,4
female,be,pX4f63,B33,8/1/2022,20:30,3:00,17:30,B5,4
female,be,pX4f63,B33,8/1/2022,11:00,3:00,8:00,C1,4
female,be,pX4f63,B33,8/1/2022,0:30,3:00,21:30,C8,4
female,be,pX4f63,B33,8/1/2022,12:00,3:00,9:00,D5,4
female,be,pX4f63,B33,8/1/2022,4:45,3:00,1:45,D7,4
female,be,wt,,8/2/2022,17:45,3:00,14:45,A6,4
female,be,pX4f63,B33,8/2/2022,3:30,3:00,0:30,B4,4
female,be,pX4f63,B33,8/2/2022,11:30,3:00,8:30,B6,4
male,uz,wt,,8/2/2022,2:30,3:00,23:30,C8,4
female,be,wt,,8/6/2022,23:30,3:00,20:30,E1,4
female,be,wt,,8/6/2022,16:45,3:00,13:45,E6,4
female,be,wt,,8/6/2022,19:30,3:00,16:30,E7,4
female,be,wt,,8/6/2022,23:15,3:00,20:15,E8,4
female,be,wt,,8/6/2022,18:00,3:00,15:00,F4,4
female,be,wt,,8/6/2022,20:00,3:00,17:00,F8,4
male,be,wt,,8/7/2022,21:30,3:00,18:30,A6,4
female,be,wt,,8/7/2022,23:15,3:00,20:15,C3,4
male,be,wt,,8/7/2022,19:30,3:00,16:30,C4,4
male,be,wt,,8/7/2022,23:45,3:00,20:45,C5,4
male,be,wt,,8/7/2022,23:00,3:00,20:00,D2,4
female,be,wt,,8/7/2022,18:45,3:00,15:45,D3,4
female,be,wt,,8/7/2022,18:15,3:00,15:15,D6,4
female,be,wt,,8/7/2022,2:30,3:00,23:30,D8,4
male,be,wt,,8/7/2022,22:15,3:00,19:15,E3,4
female,be,wt,,8/7/2022,19:00,3:00,16:00,E5,4
female,be,wt,,8/7/2022,6:15,3:00,3:15,F1,4
female,be,wt,,8/7/2022,8:15,3:00,5:15,F3,4
female,be,wt,,8/7/2022,0:00,3:00,21:00,F7,4
female,be,wt,,8/8/2022,18:15,3:00,15:15,B1,4
male,be,wt,,8/8/2022,19:45,3:00,16:45,B2,4
male,be,wt,,8/8/2022,21:15,3:00,18:15,B4,4
male,be,wt,,8/8/2022,22:45,3:00,19:45,B5,4
male,be,wt,,8/8/2022,18:15,3:00,15:15,B6,4
female,be,wt,,8/8/2022,19:30,3:00,16:30,C1,4
female,be,wt,,8/8/2022,19:30,3:00,16:30,C2,4
male,be,wt,,8/8/2022,6:45,3:00,3:45,C8,4
male,be,wt,,8/8/2022,20:30,3:00,17:30,D4,4
female,be,wt,,8/8/2022,19:45,3:00,16:45,D7,4
male,be,wt,,8/8/2022,18:00,3:00,15:00,E2,4
female,be,wt,,8/8/2022,19:30,3:00,16:30,E4,4
female,be,wt,,8/8/2022,23:15,3:00,20:15,F2,4
female,be,wt,,8/8/2022,19:15,3:00,16:15,F5,4
female,be,wt,,8/9/2022,22:00,3:00,19:00,A2,4
female,be,wt,,8/9/2022,19:15,3:00,16:15,B2,4
male,be,wt,,8/9/2022,18:30,3:00,15:30,C6,4
male,be,wt,,8/9/2022,10:45,3:00,7:45,C7,4
male,be,wt,,8/10/2022,18:45,3:00,15:45,A1,4
female,be,wt,,8/10/2022,7:45,3:00,4:45,B3,4
male,be,wt,,8/10/2022,6:45,3:00,3:45,B4,4
male,be,wt,,8/10/2022,18:15,3:00,15:15,B5,4
male,be,wt,,8/10/2022,19:00,3:00,16:00,B6,4
female,be,wt,,8/10/2022,2:30,3:00,23:30,B7,4
male,be,wt,,8/11/2022,3:15,3:00,0:15,B1,4
female,be,pX4f63,B33,8/13/2022,22:30,3:00,19:30,A3,4
female,be,wt,,8/14/2022,20:45,3:00,17:45,C5,4
male,be,pX4f63,D62,8/18/2022,21:15,3:00,18:15,A5,4
female,uz,wt,,8/18/2022,23:45,3:00,20:45,C7,4
female,uz,wt,,8/22/2022,19:00,3:00,16:00,A1,4
male,uz,wt,,8/22/2022,21:00,3:00,18:00,B2,4
female,uz,wt,,8/22/2022,21:00,3:00,18:00,B5,4
female,uz,wt,,8/22/2022,19:30,3:00,16:30,B8,4
male,uz,wt,,8/22/2022,21:00,3:00,18:00,C2,4
female,uz,wt,,8/22/2022,19:00,3:00,16:00,D1,4
female,uz,wt,,8/22/2022,23:30,3:00,20:30,D6,4
female,uz,wt,,8/22/2022,21:30,3:00,18:30,E1,4
male,uz,wt,,8/22/2022,18:30,3:00,15:30,E3,4
female,uz,wt,,8/22/2022,16:30,3:00,13:30,F2,4
female,uz,wt,,8/22/2022,16:15,3:00,13:15,F3,4
female,uz,wt,,8/23/2022,3:15,3:00,0:15,A2,4
male,uz,wt,,8/23/2022,23:00,3:00,20:00,B1,4
male,uz,wt,,8/23/2022,17:15,3:00,14:15,B4,4
female,uz,wt,,8/23/2022,22:45,3:00,19:45,B6,4
male,uz,wt,,8/23/2022,20:30,3:00,17:30,B7,4
female,uz,wt,,8/23/2022,18:30,3:00,15:30,C1,4
male,uz,wt,,8/23/2022,20:30,3:00,17:30,C3,4
female,uz,wt,,8/23/2022,23:00,3:00,20:00,C5,4
female,uz,wt,,8/23/2022,2:00,3:00,23:00,D4,4
male,uz,wt,,8/23/2022,0:30,3:00,21:30,E2,4
male,uz,wt,,8/23/2022,17:45,3:00,14:45,E5,4
female,uz,wt,,8/23/2022,20:30,3:00,17:30,E8,4
female,uz,wt,,8/23/2022,20:45,3:00,17:45,F1,4
male,uz,wt,,8/23/2022,21:45,3:00,18:45,F5,4
male,uz,wt,,8/24/2022,17:45,3:00,14:45,B3,4
male,uz,wt,,8/24/2022,23:30,3:00,20:30,C4,4
male,uz,wt,,8/24/2022,23:30,3:00,20:30,C6,4
female,uz,wt,,8/24/2022,1:15,3:00,22:15,C7,4
female,uz,wt,,8/24/2022,19:45,3:00,16:45,D3,4
male,uz,wt,,8/24/2022,18:45,3:00,15:45,D5,4
male,uz,wt,,8/24/2022,16:45,3:00,13:45,D7,4
female,uz,wt,,8/24/2022,5:15,3:00,2:15,D8,4
male,uz,wt,,8/24/2022,20:45,3:00,17:45,E6,4
female,uz,wt,,8/24/2022,20:30,3:00,17:30,E7,4
female,uz,wt,,8/24/2022,0:30,3:00,21:30,F7,4
male,uz,wt,,8/24/2022,0:15,3:00,21:15,F8,4
male,uz,wt,,8/25/2022,18:45,3:00,15:45,F6,4
