treatment,start,end,type
12L:12D,0,12,light
12L:12D,12,24,dark
12L:6D:1L:5D,0,12,light
12L:6D:1L:5D,12,18,dark
12L:6D:1L:5D,18,19,light
12L:6D:1L:5D,19,24,dark
12L:7D:1L:4D,0,12,light
12L:7D:1L:4D,12,19,dark
12L:7D:1L:4D,19,20,light
12L:7D:1L:4D,20,24,dark
12L:8D:1L:3D,0,12,light
12L:8D:1L:3D,12,20,dark
12L:8D:1L:3D,20,21,light
12L:8D:1L:3D,21,24,dark
12L:9D:1L:2D,0,12,light
12L:9D:1L:2D,12,21,dark
12L:9D:1L:2D,21,22,light
12L:9D:1L:2D,22,24,dark
12L:10D:1L:1D,0,12,light
12L:10D:1L:1D,12,22,dark
12L:10D:1L:1D,22,23,light
12L:10D:1L:1D,23,24,dark
