bkgrnd,treatment,hour_of_night,pulse_duration,family,cutoff_status,cutoff_mass,sex,status_change,status
be,12L:7D:1.5L:3.5D,7,1.5,b,dead,,,,
be,12L:7D:1.5L:3.5D,7,1.5,b,dead,,,,
be,12L:7D:1.5L:3.5D,7,1.5,b,dead,,,,
uz,12L:7D:1.5L:3.5D,7,1.5,a,dead,,,,
uz,12L:7D:1.5L:3.5D,7,1.5,a,dead,,,,
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,134,,2/13/2023,dead
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,186,,3/21/2023,dead
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,103,male,3/6/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,155,female,3/21/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,108,male,3/9/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,126,female,2/23/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,114,male,3/1/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,126,male,3/18/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,103,male,3/3/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,151,female,3/12/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,139,female,3/9/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,mixed,larva,152,female,3/3/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,171,,,mia
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,115,female,4/2/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,116,,4/8/2023,larva
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,156,female,4/2/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,109,male,3/21/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,171,female,3/15/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,153,female,4/5/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,109,male,3/9/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,158,,3/30/2023,dead
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,160,,3/15/2023,dead
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,150,,4/8/2023,larva
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,159,,4/8/2023,larva
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,182,female,3/21/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,112,male,3/24/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,111,male,3/15/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,106,male,3/9/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,159,female,3/24/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,160,female,4/8/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,109,male,3/30/2023,pupa
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,104,,4/8/2023,larva
uz,12L:7D:1.5L:3.5D,7,1.5,a,larva,92,male,3/24/2023,pupa
be,12L:7D:1.5L:3.5D,7,1.5,b,moth,,male,,
be,12L:7D:1.5L:3.5D,7,1.5,b,moth,,female,,
be,12L:7D:1.5L:3.5D,7,1.5,b,moth,,male,,
be,12L:7D:1.5L:3.5D,7,1.5,b,moth,,female,,
be,12L:7D:1.5L:3.5D,7,1.5,b,pupa,,female,,
be,12L:7D:1.5L:3.5D,7,1.5,b,pupa,,male,,
be,12L:7D:1.5L:3.5D,7,1.5,b,pupa,,female,,
be,12L:7D:1.5L:3.5D,7,1.5,b,pupa,,male,,
be,12L:7D:1.5L:3.5D,7,1.5,b,pupa,,male,,
be,12L:7.5D:1.5L:3D,7.5,1.5,b,dead,,,,
be,12L:7.5D:1.5L:3D,7.5,1.5,b,dead,,,,
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,dead,,,,
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,dead,,,,
be_px4,12L:7.5D:1.5L:3D,7.5,1.5,1,dead,,,,
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,larva,77,,2/13/2023,dead
be_px4,12L:7.5D:1.5L:3D,7.5,1.5,1,larva,64,,2/13/2023,dead
be_px4,12L:7.5D:1.5L:3D,7.5,1.5,1,larva,98,,2/13/2023,dead
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,larva,100,male,2/13/2023,pupa
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,larva,109,male,2/20/2023,pupa
be_px4,12L:7.5D:1.5L:3D,7.5,1.5,1,larva,105,male,2/20/2023,pupa
be_px4,12L:7.5D:1.5L:3D,7.5,1.5,1,larva,161,female,2/20/2023,pupa
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,larva,113,,3/9/2023,dead
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,larva,99,male,3/12/2023,pupa
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,larva,139,female,3/12/2023,pupa
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,larva,87,,3/18/2023,dead
be,12L:7.5D:1.5L:3D,7.5,1.5,mixed,larva,109,,3/15/2023,pupa
