"","family","sex","mortality_final","pdd","dev","azt","period","ld","mass_mg","year"
"1","CK","male","moth",15,NA,NA,"wt","15L09D",NA,2024
"2","CK","male","moth",36,NA,NA,"wt","15L09D",NA,2024
"3","CK","male","moth",21,NA,NA,"wt","15L09D",NA,2024
"4","CK","male","moth",36,NA,NA,"wt","15L09D",NA,2024
"5","CK",NA,"moth",45,NA,NA,"wt","15L09D",NA,2024
"6","CK","male","moth",36,10,3,"wt","15L09D",NA,2024
"7","CK","male","moth",18,9,14,"wt","12L12D",NA,2024
"8","CK",NA,"moth",30,NA,NA,"wt","12L12D",NA,2024
"9","CK",NA,"moth",34,NA,NA,"wt","12L12D",NA,2024
"10","CK","male","moth",36,NA,NA,"wt","12L12D",NA,2024
"11","CK","male","moth",24,NA,NA,"wt","12L12D",NA,2024
"12","CK",NA,"moth",34,NA,NA,"wt","12L12D",NA,2024
"13","CK",NA,"moth",34,NA,NA,"wt","12L12D",NA,2024
"14","CK",NA,"moth",45,NA,NA,"wt","12L12D",NA,2024
"15","CK",NA,"moth",27,NA,NA,"wt","12L12D",NA,2024
"16","CK","male","moth",15,9,13,"mutant","12L12D",NA,2024
"17","CI","male","moth",15,7,21,"mutant","12L12D",NA,2024
"18","CI","male","moth",18,NA,NA,"wt","12L12D",NA,2024
"19","CI","male","moth",21,NA,NA,"mutant","12L12D",NA,2024
"20","CI","male","moth",30,8,1,"wt","12L12D",NA,2024
"21","CJ",NA,"moth",30,NA,NA,"wt","12L12D",NA,2024
"22","CJ","male","moth",12,8,22,"wt","12L12D",NA,2024
"23","CJ",NA,"moth",45,NA,NA,"mutant","12L12D",NA,2024
"24","CJ",NA,"moth",27,NA,NA,"wt","12L12D",NA,2024
"25","CJ","male","moth",24,NA,NA,"mutant","15L09D",NA,2024
"26","CD","male","moth",30,8,22,"mutant","15L09D",NA,2024
"27","CD","male","moth",18,9,19,"mutant","15L09D",NA,2024
"28","CH","male","moth",18,9,13,"wt","12L12D",NA,2024
